premises_suburb, state, premises_post_code, division_name, polling_place_name, polling_place_id
"SOUTH MORANG","VIC","3752","Scullin","Mill Park Lakes","34245"
"SOUTH MORANG","VIC","3752","Scullin","Mill Park Lakes East","65491"
"MILL PARK","VIC","3082","Scullin","Mill Park SCULLIN PPVC","65680"
"MILL PARK","VIC","3082","Scullin","Mill Park West","83686"
"BUNDOORA","VIC","3083","Scullin","Norris Bank (Scullin)","4861"
"SOUTH MORANG","VIC","3752","Scullin","South Morang","4349"
"SOUTH MORANG","VIC","3752","Scullin","South Morang SCULLIN PPVC","46761"
"MILL PARK","VIC","3082","Scullin","The Stables","4365"
"THOMASTOWN","VIC","3074","Scullin","Thomastown","4862"
"THOMASTOWN","VIC","3074","Scullin","Thomastown East","4863"
"THOMASTOWN","VIC","3074","Scullin","Thomastown Heights","31768"
"THOMASTOWN","VIC","3074","Scullin","Thomastown Meadows","4864"
"THOMASTOWN","VIC","3074","Scullin","Thomastown West","4865"
"WOLLERT","VIC","3750","Scullin","Wollert South","83636"
"BRUNSWICK","VIC","3056","Wills","Anstey","5086"
"ESSENDON FIELDS","VIC","3041","Wills","BLV Wills PPVC","65462"
"BRUNSWICK EAST","VIC","3057","Wills","Brunswick East (Wills)","4616"
"BRUNSWICK WEST","VIC","3055","Wills","Brunswick North","5088"
"BRUNSWICK EAST","VIC","3057","Wills","Brunswick North East","5089"
"BRUNSWICK WEST","VIC","3055","Wills","Brunswick North West","5090"
"BRUNSWICK","VIC","3056","Wills","Brunswick South","4617"
"BRUNSWICK EAST","VIC","3057","Wills","Brunswick South East (Wills)","4618"
"BRUNSWICK WEST","VIC","3055","Wills","Brunswick South West","4619"
"COBURG","VIC","3058","Wills","Coburg","5091"
"COBURG","VIC","3058","Wills","Coburg East","5092"
"COBURG","VIC","3058","Wills","Coburg North","5093"
"COBURG","VIC","3058","Wills","Coburg South","5094"
"COBURG","VIC","3058","Wills","Coburg West","5096"
"ESSENDON FIELDS","VIC","3041","Wills","Divisional Office (PREPOLL)","30225"
"ESSENDON","VIC","3040","Wills","Essendon WILLS PPVC","58752"
"FAWKNER","VIC","3060","Wills","Fawkner East","4846"
"FAWKNER","VIC","3060","Wills","Fawkner North","4847"
"PASCOE VALE","VIC","3044","Wills","Gaffney","83805"
"GLENROY","VIC","3046","Wills","Glenroy","4848"
"GLENROY","VIC","3046","Wills","Glenroy North","4851"
"GLENROY","VIC","3046","Wills","Glenroy West","4591"
"GLENROY","VIC","3046","Wills","Glenroy WILLS PPVC","34056"
"GLENROY","VIC","3046","Wills","Gowrie Park","4852"
"PASCOE VALE","VIC","3044","Wills","Hadfield","4853"
"COBURG NORTH","VIC","3058","Wills","Lake Park (Wills)","5101"
"MELBOURNE","VIC","3000","Wills","Melbourne (Wills)","32909"
"MELBOURNE","VIC","3000","Wills","Melbourne Central WILLS PPVC","97515"
"MELBOURNE","VIC","3000","Wills","Melbourne WILLS PPVC","83927"
"BRUNSWICK WEST","VIC","3055","Wills","Melville","5102"
"COBURG","VIC","3058","Wills","Merlynston","5103"
"FITZROY NORTH","VIC","3068","Wills","Merri (Wills)","93494"
"BRUNSWICK","VIC","3056","Wills","Mitchell","5104"
"FAWKNER","VIC","3060","Wills","Moomba Park","4860"
"COBURG","VIC","3058","Wills","Moreland","5105"
"COBURG","VIC","3058","Wills","Murray (Wills)","5106"
"THORNBURY","VIC","3071","Wills","Northcote WILLS PPVC","64642"
"OAK PARK","VIC","3046","Wills","Oak Park","5108"
"PASCOE VALE","VIC","3044","Wills","Pascoe Vale","5109"
"PASCOE VALE SOUTH","VIC","3044","Wills","Pascoe Vale Central","5110"
"PASCOE VALE","VIC","3044","Wills","Pascoe Vale North","5111"
"PASCOE VALE SOUTH","VIC","3044","Wills","Pascoe Vale South","5112"
"OAK PARK","VIC","3046","Wills","Pascoe Vale West","5113"
"STRATHMORE","VIC","3041","Wills","Strathmore North (Wills)","93493"
"THORNBURY","VIC","3071","Wills","Thornbury WILLS PPVC","82772"
